beverage,year,month,quantity
Coca Cola Classic 500ml,2021,1,21.36578210640711
Coca Cola Classic 500ml,2021,2,21.913410411689256
Coca Cola Classic 500ml,2021,3,19.01377976662111
Coca Cola Classic 500ml,2021,4,18.257798723986223
Coca Cola Classic 500ml,2021,5,23.42465596624731
Coca Cola Classic 500ml,2021,6,21.153398494177342
Coca Cola Classic 500ml,2021,7,22.15527792215292
Coca Cola Classic 500ml,2021,8,20.884556679460523
Coca Cola Classic 500ml,2021,9,18.483570692633194
Coca Cola Classic 500ml,2021,10,18.994434898622398
Coca Cola Classic 500ml,2021,11,21.65633207504842
Coca Cola Classic 500ml,2021,12,20.98891788598039
Coca Cola Classic 500ml,2022,1,20.655589106117958
Coca Cola Classic 500ml,2022,2,20.570596859063205
Coca Cola Classic 500ml,2022,3,19.33838903760538
Coca Cola Classic 500ml,2022,4,18.87170090235475
Coca Cola Classic 500ml,2022,5,22.120245204524053
Coca Cola Classic 500ml,2022,6,21.771375243216585
Coca Cola Classic 500ml,2022,7,22.012595343124183
Coca Cola Classic 500ml,2022,8,20.369867100458443
Coca Cola Classic 500ml,2022,9,18.778773725177572
Coca Cola Classic 500ml,2022,10,19.334494999773845
Coca Cola Classic 500ml,2022,11,21.243079967171315
Coca Cola Classic 500ml,2022,12,21.107127769781613
Coca Cola Zero 500ml,2021,1,42.03674203049204
Coca Cola Zero 500ml,2021,2,43.114189590478055
Coca Cola Zero 500ml,2021,3,37.40922523188869
Coca Cola Zero 500ml,2021,4,35.9218478959729
Coca Cola Zero 500ml,2021,5,46.08753450269797
Coca Cola Zero 500ml,2021,6,41.61888159017006
Coca Cola Zero 500ml,2021,7,43.590059001309
Coca Cola Zero 500ml,2021,8,41.089940783979245
Coca Cola Zero 500ml,2021,9,36.36604965542467
Coca Cola Zero 500ml,2021,10,37.3711645972896
Coca Cola Zero 500ml,2021,11,42.60839318830666
Coca Cola Zero 500ml,2021,12,41.295269336644346
Coca Cola Zero 500ml,2022,1,40.639451737240215
Coca Cola Zero 500ml,2022,2,40.47223121864469
