beverage,year,month,quantity
Coca Cola Classic 500ml,2021,1,30.38
Coca Cola Zero 500ml,2021,1,24.19
Diet Coca Cola 500ml,2021,1,7.8
Fanta 500ml,2021,1,1.43
Fuze Diet Apricot 500ml,2021,1,6.0
Fuze Tea Apricot 500ml,2021,1,4.24
Grape 500ml,2021,1,2.23
Grapefruit 500ml,2021,1,1.45
Sprite 500ml,2021,1,0.21
Zero Sprite 500ml,2021,1,3.79
sprite lite,2021,1,2.58
Coca Cola Classic 500ml,2021,2,30.35
Coca Cola Zero 500ml,2021,2,24.77
Diet Coca Cola 500ml,2021,2,6.67
Fanta 500ml,2021,2,1.52
Fuze Diet Apricot 500ml,2021,2,5.98
Fuze Tea Apricot 500ml,2021,2,3.89
Grape 500ml,2021,2,2.08
Grapefruit 500ml,2021,2,1.53
Sprite 500ml,2021,2,0.22
Zero Sprite 500ml,2021,2,2.86
sprite lite,2021,2,2.7
Coca Cola Classic 500ml,2021,3,30.04
Coca Cola Zero 500ml,2021,3,24.31
Diet Coca Cola 500ml,2021,3,6.33
Fanta 500ml,2021,3,1.55
Fuze Diet Apricot 500ml,2021,3,6.24
Fuze Tea Apricot 500ml,2021,3,3.86
Grape 500ml,2021,3,2.03
Grapefruit 500ml,2021,3,1.58
Sprite 500ml,2021,3,0.21
Zero Sprite 500ml,2021,3,3.16
sprite lite,2021,3,2.7
Coca Cola Classic 500ml,2021,4,31.65
Coca Cola Zero 500ml,2021,4,24.09
Diet Coca Cola 500ml,2021,4,6.67
Fanta 500ml,2021,4,1.59
Fuze Diet Apricot 500ml,2021,4,6.73
Fuze Tea Apricot 500ml,2021,4,3.86
Grape 500ml,2021,4,2.01
Grapefruit 500ml,2021,4,1.81
Sprite 500ml,2021,4,0.18
Zero Sprite 500ml,2021,4,6.22
sprite lite,2021,4,2.72
Coca Cola Classic 500ml,2021,5,31.95
Coca Cola Zero 500ml,2021,5,23.67
Diet Coca Cola 500ml,2021,5,6.75
Fanta 500ml,2021,5,1.57
Fuze Diet Apricot 500ml,2021,5,6.7
Fuze Tea Apricot 500ml,2021,5,3.84
Grape 500ml,2021,5,2.02
Grapefruit 500ml,2021,5,1.83
Sprite 500ml,2021,5,0.18
Zero Sprite 500ml,2021,5,7.3
sprite lite,2021,5,2.69
Coca Cola Classic 500ml,2021,6,32.03
