beverage,year,month,quantity
Coca Cola Classic 500ml,2021,1,67.6408602876283
Coca Cola Classic 500ml,2021,2,52.17797369841873
Coca Cola Classic 500ml,2021,3,32.395210874149804
Coca Cola Classic 500ml,2021,4,77.4816324819441
Coca Cola Classic 500ml,2021,5,109.02878072590265
Coca Cola Classic 500ml,2021,6,47.3216357587572
Coca Cola Classic 500ml,2021,7,121.5182618657927
Coca Cola Classic 500ml,2021,8,163.44980985984014
Coca Cola Classic 500ml,2021,9,0.0
Coca Cola Classic 500ml,2021,10,0.0
Coca Cola Classic 500ml,2021,11,127.22114996642766
Coca Cola Classic 500ml,2021,12,136.1397252304159
Coca Cola Classic 500ml,2022,1,91.3003130178267
Coca Cola Classic 500ml,2022,2,82.41973106949455
Coca Cola Classic 500ml,2022,3,76.61200926962667
Coca Cola Classic 500ml,2022,4,81.83117753564024
Coca Cola Classic 500ml,2022,5,117.44201906636667
Coca Cola Classic 500ml,2022,6,108.06292553554398
Coca Cola Classic 500ml,2022,7,129.61716208105815
Coca Cola Classic 500ml,2022,8,140.12443789029726
Coca Cola Classic 500ml,2022,9,1.3804466278977894e-05
Coca Cola Classic 500ml,2022,10,0.0
Coca Cola Classic 500ml,2022,11,120.35755687958256
Coca Cola Classic 500ml,2022,12,127.5013891396055
Coca Cola Zero 500ml,2021,1,38.802988032040524
Coca Cola Zero 500ml,2021,2,30.874067883517508
Coca Cola Zero 500ml,2021,3,15.825784486991145
Coca Cola Zero 500ml,2021,4,44.326994846212486
Coca Cola Zero 500ml,2021,5,32.15926748634854
Coca Cola Zero 500ml,2021,6,22.577705820309557
Coca Cola Zero 500ml,2021,7,48.33259986198284
Coca Cola Zero 500ml,2021,8,47.72922228358943
Coca Cola Zero 500ml,2021,9,0.0
Coca Cola Zero 500ml,2021,10,56.71471035507963
Coca Cola Zero 500ml,2021,11,31.55177322531181
Coca Cola Zero 500ml,2021,12,25.205407318335652
Coca Cola Zero 500ml,2022,1,24.501387842758266
Coca Cola Zero 500ml,2022,2,21.341182262043443
Coca Cola Zero 500ml,2022,3,18.301587490931492
Coca Cola Zero 500ml,2022,4,22.315807574175164
Coca Cola Zero 500ml,2022,5,21.43563969075671
Coca Cola Zero 500ml,2022,6,20.960655956574616
Coca Cola Zero 500ml,2022,7,26.215327968485216
Coca Cola Zero 500ml,2022,8,25.323806438300565
Coca Cola Zero 500ml,2022,9,2.9581123445835384
Coca Cola Zero 500ml,2022,10,23.85072135938527
Coca Cola Zero 500ml,2022,11,18.882464104409394
Coca Cola Zero 500ml,2022,12,17.50533582067854
Diet Coca Cola 500ml,2021,1,7.601530894206781
Diet Coca Cola 500ml,2021,2,15.055475391475017
Diet Coca Cola 500ml,2021,3,3.937353850740437
Diet Coca Cola 500ml,2021,4,16.42886481040534
Diet Coca Cola 500ml,2021,5,18.188600276351735
Diet Coca Cola 500ml,2021,6,11.791545562886876
Diet Coca Cola 500ml,2021,7,22.038773138889574
Diet Coca Cola 500ml,2021,8,14.264556730767609
Diet Coca Cola 500ml,2021,9,0.0
Diet Coca Cola 500ml,2021,10,28.615240946005493
Diet Coca Cola 500ml,2021,11,15.780837431891804
Diet Coca Cola 500ml,2021,12,16.618375075447084
Diet Coca Cola 500ml,2022,1,11.865459297022191
Diet Coca Cola 500ml,2022,2,13.762082803935288
Diet Coca Cola 500ml,2022,3,10.516136924860541
Diet Coca Cola 500ml,2022,4,15.30303674452401
Diet Coca Cola 500ml,2022,5,17.673348090910025
Diet Coca Cola 500ml,2022,6,15.546360830277768
Diet Coca Cola 500ml,2022,7,21.24525818834915
Diet Coca Cola 500ml,2022,8,13.783894444310377
Diet Coca Cola 500ml,2022,9,1.5667818880677637e-07
Diet Coca Cola 500ml,2022,10,20.50965457141958
