beverage,year,month,quantity
Coca Cola Classic 500ml,2021,1,34.83115204347259
Coca Cola Classic 500ml,2021,2,26.16888145404741
Coca Cola Classic 500ml,2021,3,20.886869502635584
Coca Cola Classic 500ml,2021,4,15.570685158085626
Coca Cola Classic 500ml,2021,5,26.741575770505314
Coca Cola Classic 500ml,2021,6,24.91622681476277
Coca Cola Classic 500ml,2021,7,28.008728227723054
Coca Cola Classic 500ml,2021,8,21.888119895011968
Coca Cola Classic 500ml,2021,9,17.72397010977837
Coca Cola Classic 500ml,2021,10,10.685266121874568
Coca Cola Classic 500ml,2021,11,26.57834446795857
Coca Cola Classic 500ml,2021,12,21.43427311417979
Coca Cola Classic 500ml,2022,1,31.15536179049001
Coca Cola Classic 500ml,2022,2,27.280325752289333
Coca Cola Classic 500ml,2022,3,23.988491978563594
Coca Cola Classic 500ml,2022,4,19.130417426628064
Coca Cola Classic 500ml,2022,5,27.05180825807051
Coca Cola Classic 500ml,2022,6,31.829111569191816
Coca Cola Classic 500ml,2022,7,27.94662902697808
Coca Cola Classic 500ml,2022,8,22.989883625637898
Coca Cola Classic 500ml,2022,9,19.29131346783156
Coca Cola Classic 500ml,2022,10,7.5658483743699785
Coca Cola Classic 500ml,2022,11,25.79297720111202
Coca Cola Classic 500ml,2022,12,24.03524530311009
Coca Cola Zero 500ml,2021,1,13.352914618604368
Coca Cola Zero 500ml,2021,2,21.423076058716756
Coca Cola Zero 500ml,2021,3,28.66123020306219
Coca Cola Zero 500ml,2021,4,26.531659075381974
Coca Cola Zero 500ml,2021,5,30.63835129427327
Coca Cola Zero 500ml,2021,6,30.998520153555223
Coca Cola Zero 500ml,2021,7,31.60232756924339
Coca Cola Zero 500ml,2021,8,36.43601063861469
Coca Cola Zero 500ml,2021,9,30.012741473805995
Coca Cola Zero 500ml,2021,10,40.38606860940616
Coca Cola Zero 500ml,2021,11,31.380524826357725
Coca Cola Zero 500ml,2021,12,32.372385421064614
Coca Cola Zero 500ml,2022,1,17.050364928509808
Coca Cola Zero 500ml,2022,2,21.051901606687586
Coca Cola Zero 500ml,2022,3,25.950435141663384
Coca Cola Zero 500ml,2022,4,22.24452158657254
Coca Cola Zero 500ml,2022,5,24.979018799859784
Coca Cola Zero 500ml,2022,6,24.905542719333404
Coca Cola Zero 500ml,2022,7,27.13033581157125
Coca Cola Zero 500ml,2022,8,32.85645362185282
Coca Cola Zero 500ml,2022,9,26.22176737846508
Coca Cola Zero 500ml,2022,10,36.04064759727133
Coca Cola Zero 500ml,2022,11,28.74629052720875
Coca Cola Zero 500ml,2022,12,27.663933513609145
Diet Coca Cola 500ml,2021,1,3.9170929263213834
Diet Coca Cola 500ml,2021,2,8.86783120161774
Diet Coca Cola 500ml,2021,3,12.549054979362587
Diet Coca Cola 500ml,2021,4,8.116867530102892
Diet Coca Cola 500ml,2021,5,7.023798193677235
Diet Coca Cola 500ml,2021,6,7.054029571150751
Diet Coca Cola 500ml,2021,7,6.795503424916487
Diet Coca Cola 500ml,2021,8,5.819396994604991
Diet Coca Cola 500ml,2021,9,6.034507639004777
Diet Coca Cola 500ml,2021,10,7.388075028800042
Diet Coca Cola 500ml,2021,11,5.874349837925431
Diet Coca Cola 500ml,2021,12,6.833203161778311
Diet Coca Cola 500ml,2022,1,5.870456392891005
Diet Coca Cola 500ml,2022,2,7.911632348136347
Diet Coca Cola 500ml,2022,3,9.66153708968358
Diet Coca Cola 500ml,2022,4,8.599345789147042
Diet Coca Cola 500ml,2022,5,7.883506133936748
Diet Coca Cola 500ml,2022,6,6.488270798359282
Diet Coca Cola 500ml,2022,7,8.051653903721919
Diet Coca Cola 500ml,2022,8,5.228539448562135
Diet Coca Cola 500ml,2022,9,6.842793857509897
Diet Coca Cola 500ml,2022,10,8.187634308344183
Diet Coca Cola 500ml,2022,11,5.880096641219194
Diet Coca Cola 500ml,2022,12,7.829828282071422
Fanta 500ml,2021,1,0.0
Fanta 500ml,2021,2,2.376503435650099
Fanta 500ml,2021,3,0.8555477816880309
Fanta 500ml,2021,4,1.3485942898101553
Fanta 500ml,2021,5,0.9407787896351507
Fanta 500ml,2021,6,1.825264664605037
Fanta 500ml,2021,7,1.3460989967733024
Fanta 500ml,2021,8,1.5375016839524946
Fanta 500ml,2021,9,2.0578730269156664
Fanta 500ml,2021,10,1.2367442598490441
Fanta 500ml,2021,11,1.65462420919967
Fanta 500ml,2021,12,0.8736067899072347
Fanta 500ml,2022,1,0.5116916449666369
Fanta 500ml,2022,2,2.071487497506846
Fanta 500ml,2022,3,0.9686430331950145
Fanta 500ml,2022,4,1.6815985596720304
Fanta 500ml,2022,5,1.2581266461914113
Fanta 500ml,2022,6,1.7424612539280666
Fanta 500ml,2022,7,1.2830698025445657
Fanta 500ml,2022,8,1.4830007804913694
Fanta 500ml,2022,9,1.8522306879606278
Fanta 500ml,2022,10,1.3529611625179832
Fanta 500ml,2022,11,0.8788922261308604
Fanta 500ml,2022,12,1.363152659407879
Fuze Diet Apricot 500ml,2021,1,0.0
Fuze Diet Apricot 500ml,2021,2,0.0
Fuze Diet Apricot 500ml,2021,3,0.0
Fuze Diet Apricot 500ml,2021,4,0.0
Fuze Diet Apricot 500ml,2021,5,4.887611227133673
Fuze Diet Apricot 500ml,2021,6,3.531986604896829
Fuze Diet Apricot 500ml,2021,7,2.464273948415024
Fuze Diet Apricot 500ml,2021,8,6.059781408044211
Fuze Diet Apricot 500ml,2021,9,3.218900893020226
Fuze Diet Apricot 500ml,2021,10,0.0
Fuze Diet Apricot 500ml,2021,11,1.1360345190698198
Fuze Diet Apricot 500ml,2021,12,1.0456645682629149
Fuze Diet Apricot 500ml,2022,1,0.0
Fuze Diet Apricot 500ml,2022,2,0.0
Fuze Diet Apricot 500ml,2022,3,2.217895499319665
Fuze Diet Apricot 500ml,2022,4,0.0
Fuze Diet Apricot 500ml,2022,5,0.5742420084814864
Fuze Diet Apricot 500ml,2022,6,2.177626079795018
Fuze Diet Apricot 500ml,2022,7,0.0
Fuze Diet Apricot 500ml,2022,8,5.59475606549642
Fuze Diet Apricot 500ml,2022,9,2.381923770975061
Fuze Diet Apricot 500ml,2022,10,0.0
Fuze Diet Apricot 500ml,2022,11,0.0
Fuze Diet Apricot 500ml,2022,12,0.0
Fuze Tea Apricot 500ml,2021,1,2.242816335294787
Fuze Tea Apricot 500ml,2021,2,4.4348053167246855
Fuze Tea Apricot 500ml,2021,3,3.2168157005178735
