beverage,year,month,quantity
Coca Cola Classic 500ml,2021,1,10.367015284005154
Coca Cola Classic 500ml,2021,2,25.217068508831886
Coca Cola Classic 500ml,2021,3,53.998693030982636
Coca Cola Classic 500ml,2021,4,3.1573255735403505
Coca Cola Classic 500ml,2021,5,82.57523509684289
Coca Cola Classic 500ml,2021,6,50.96674939490476
Coca Cola Classic 500ml,2021,7,75.28962383958758
Coca Cola Classic 500ml,2021,8,92.27813085770482
Coca Cola Classic 500ml,2021,9,47.1283138310049
Coca Cola Classic 500ml,2021,10,0.0
Coca Cola Classic 500ml,2021,11,64.219301070332
Coca Cola Classic 500ml,2021,12,63.54593648596256
Coca Cola Classic 500ml,2022,1,32.37220581432961
Coca Cola Classic 500ml,2022,2,42.89209782660724
Coca Cola Classic 500ml,2022,3,60.42186913330176
Coca Cola Classic 500ml,2022,4,26.75731291095102
Coca Cola Classic 500ml,2022,5,72.57553481612236
Coca Cola Classic 500ml,2022,6,63.40980306082635
Coca Cola Classic 500ml,2022,7,67.91247561484103
Coca Cola Classic 500ml,2022,8,74.37916654172965
Coca Cola Classic 500ml,2022,9,48.48687816151153
Coca Cola Classic 500ml,2022,10,0.0
Coca Cola Classic 500ml,2022,11,58.363687193647486
Coca Cola Classic 500ml,2022,12,53.860556786730484
Coca Cola Zero 500ml,2021,1,0.0
Coca Cola Zero 500ml,2021,2,37.39881232706924
Coca Cola Zero 500ml,2021,3,17.16931598629289
Coca Cola Zero 500ml,2021,4,48.078984908027266
Coca Cola Zero 500ml,2021,5,14.878737419044006
Coca Cola Zero 500ml,2021,6,12.565307274654751
Coca Cola Zero 500ml,2021,7,33.805932279878846
Coca Cola Zero 500ml,2021,8,13.857357097709567
Coca Cola Zero 500ml,2021,9,7.753491814927945
Coca Cola Zero 500ml,2021,10,61.11899378692479
Coca Cola Zero 500ml,2021,11,18.5208680388844
Coca Cola Zero 500ml,2021,12,16.640642355864713
Coca Cola Zero 500ml,2022,1,7.137996493553269
Coca Cola Zero 500ml,2022,2,19.010448783077848
Coca Cola Zero 500ml,2022,3,13.360369920289296
Coca Cola Zero 500ml,2022,4,21.244540170347662
Coca Cola Zero 500ml,2022,5,11.593991795176544
Coca Cola Zero 500ml,2022,6,10.342114190212083
Coca Cola Zero 500ml,2022,7,16.206388837435785
Coca Cola Zero 500ml,2022,8,10.86668550450446
Coca Cola Zero 500ml,2022,9,8.316745966790814
Coca Cola Zero 500ml,2022,10,21.09449087521925
Coca Cola Zero 500ml,2022,11,10.432482980177074
Coca Cola Zero 500ml,2022,12,9.51531779554514
Diet Coca Cola 500ml,2021,1,3.094580601912624
Diet Coca Cola 500ml,2021,2,11.704352611470622
Diet Coca Cola 500ml,2021,3,7.208837546031392
Diet Coca Cola 500ml,2021,4,6.563621555278896
Diet Coca Cola 500ml,2021,5,9.423161717182772
Diet Coca Cola 500ml,2021,6,9.463520378474513
Diet Coca Cola 500ml,2021,7,8.938315962693316
Diet Coca Cola 500ml,2021,8,0.3894701676571569
Diet Coca Cola 500ml,2021,9,4.126516147475216
Diet Coca Cola 500ml,2021,10,19.145741422235606
Diet Coca Cola 500ml,2021,11,6.055210272490702
Diet Coca Cola 500ml,2021,12,5.881141293809884
Diet Coca Cola 500ml,2022,1,5.720292757293314
Diet Coca Cola 500ml,2022,2,8.330331670045503
Diet Coca Cola 500ml,2022,3,7.473432748332498
Diet Coca Cola 500ml,2022,4,7.731994299896999
Diet Coca Cola 500ml,2022,5,8.566425058467335
Diet Coca Cola 500ml,2022,6,7.243672814548152
Diet Coca Cola 500ml,2022,7,8.71977367322262
Diet Coca Cola 500ml,2022,8,3.739409867648494
Diet Coca Cola 500ml,2022,9,6.194486585214024
Diet Coca Cola 500ml,2022,10,13.218972307718955
Diet Coca Cola 500ml,2022,11,6.244846803225398
Diet Coca Cola 500ml,2022,12,7.605805309523224
Fanta 500ml,2021,1,0.0
Fanta 500ml,2021,2,2.604983185471702
Fanta 500ml,2021,3,0.7233411787245836
Fanta 500ml,2021,4,2.5788327136249576
Fanta 500ml,2021,5,1.889333982079836
Fanta 500ml,2021,6,0.9404848714256339
Fanta 500ml,2021,7,1.26890469487221
Fanta 500ml,2021,8,0.1984294258682982
Fanta 500ml,2021,9,3.2495140067708266
Fanta 500ml,2021,10,0.0
Fanta 500ml,2021,11,0.21337544636189829
Fanta 500ml,2021,12,3.408315622304072
Fanta 500ml,2022,1,0.0
Fanta 500ml,2022,2,2.022883924299937
Fanta 500ml,2022,3,0.84240856044599
Fanta 500ml,2022,4,2.2225020718820265
Fanta 500ml,2022,5,1.520104400912858
Fanta 500ml,2022,6,1.229791591750887
Fanta 500ml,2022,7,1.2123439915690666
Fanta 500ml,2022,8,0.4309923961924647
Fanta 500ml,2022,9,1.9646670258290984
Fanta 500ml,2022,10,0.0
Fanta 500ml,2022,11,0.27541581900182566
Fanta 500ml,2022,12,1.9695697121557947
