beverage,year,month,quantity
Coca Cola Classic 500ml,2021,1,27.975950593432
Coca Cola Classic 500ml,2021,2,24.773134486114085
Coca Cola Classic 500ml,2021,3,23.860225845968024
Coca Cola Classic 500ml,2021,4,11.72121368109335
Coca Cola Classic 500ml,2021,5,30.10498473845384
Coca Cola Classic 500ml,2021,6,26.498046895506814
Coca Cola Classic 500ml,2021,7,31.57660472183786
Coca Cola Classic 500ml,2021,8,25.107066935735165
Coca Cola Classic 500ml,2021,9,12.539387411281117
Coca Cola Classic 500ml,2021,10,11.214693054024066
Coca Cola Classic 500ml,2021,11,27.134662368338454
Coca Cola Classic 500ml,2021,12,21.521048771601954
Coca Cola Classic 500ml,2022,1,24.733457724560953
Coca Cola Classic 500ml,2022,2,23.89753737989506
Coca Cola Classic 500ml,2022,3,22.723280271972516
Coca Cola Classic 500ml,2022,4,13.675296839042025
Coca Cola Classic 500ml,2022,5,25.380508449472273
Coca Cola Classic 500ml,2022,6,29.964159413763213
Coca Cola Classic 500ml,2022,7,28.276774895547785
Coca Cola Classic 500ml,2022,8,24.05635700978358
Coca Cola Classic 500ml,2022,9,14.168245991467023
Coca Cola Classic 500ml,2022,10,8.61793680092234
Coca Cola Classic 500ml,2022,11,25.598658274350637
Coca Cola Classic 500ml,2022,12,24.671143698938764
Coca Cola Zero 500ml,2021,1,42.52558219747284
Coca Cola Zero 500ml,2021,2,37.436149604974325
Coca Cola Zero 500ml,2021,3,36.53096787899483
Coca Cola Zero 500ml,2021,4,23.72236932844639
Coca Cola Zero 500ml,2021,5,42.68375681897437
Coca Cola Zero 500ml,2021,6,38.8589179725496
Coca Cola Zero 500ml,2021,7,45.51070971938803
Coca Cola Zero 500ml,2021,8,44.05032166510236
Coca Cola Zero 500ml,2021,9,23.21711491952826
Coca Cola Zero 500ml,2021,10,38.12755143703254
Coca Cola Zero 500ml,2021,11,41.13601618835474
Coca Cola Zero 500ml,2021,12,37.09742622718127
Coca Cola Zero 500ml,2022,1,34.61688468215811
Coca Cola Zero 500ml,2022,2,31.941177084541284
Coca Cola Zero 500ml,2022,3,31.69526795973662
Coca Cola Zero 500ml,2022,4,23.760894880281853
Coca Cola Zero 500ml,2022,5,33.825464682309885
Coca Cola Zero 500ml,2022,6,36.489292681048056
Coca Cola Zero 500ml,2022,7,37.89531968023635
Coca Cola Zero 500ml,2022,8,37.539654290604986
Coca Cola Zero 500ml,2022,9,21.437548860224634
Coca Cola Zero 500ml,2022,10,31.599440483117622
