beverage,basic_mae,enhanced_mae,basic_rmse,enhanced_rmse,basic_mape,enhanced_mape,mae_improvement_%,rmse_improvement_%,mape_improvement_%
Coca Cola Classic 500ml,3.9542432234427287,2.581005693987235,5.242426800013374,4.073989775803599,19.56660402122256,10.951604428926645,34.72820086822823,22.28809421252756,44.02909969942568
Coca Cola Zero 500ml,5.934982289228721,3.363798504736487,8.39718386371057,4.839684977167321,21.464571679303766,8.399810146284297,43.322518234951154,42.3653803975569,60.86663050265554
Diet Coca Cola 500ml,1.3425385535298502,0.7017164281993592,1.8987049698222342,0.9008827706373843,13.868644444366787,8.029500280283795,47.73212088737554,52.55277755333788,42.103207617055574
Fanta 500ml,0.38185351696177683,0.2365141381557245,0.4578520222965255,0.3030463658445087,23.10174002444522,14.455948541015692,38.061553017095996,33.811285942460614,37.4248497051778
Fuze Diet Apricot 500ml,0.3898592466579392,0.9758922990078412,0.5489666582418543,1.1416709620194019,25.241147907594108,57.6500541752018,-150.31913629692227,-107.9672681171147,-128.39711722404303
Fuze Tea Apricot 500ml,1.0802864145858668,0.7511777622130753,1.315185762178642,0.9954881137266633,21.14277785778007,15.867968042457218,30.4649441045648,24.30817437700896,24.94851835839462
Grape 500ml,0.38923137173445455,0.22558017385561463,0.4624650242170416,0.3148052730020519,25.363390781224272,12.955289377529558,42.044709076145004,31.928847260391052,48.921303585639045
Grapefruit 500ml,0.4629757439401614,0.3058420607422532,0.563191566133522,0.38257145587074654,30.068715310369814,22.366263952002026,33.9399385938926,32.07081233527454,25.616163773087575
Sprite 500ml,2.1318162633857146e-08,3.10360878395436e-09,3.4827654833526036e-08,6.19134002848527e-09,5.856428453299145e-07,1.35707344250946e-06,85.44148087591161,82.22292009588507,-131.7237294592013
Zero Sprite 500ml,1.4972909164681028,0.7697065941565695,2.0244922120597746,1.0613382810359584,24.003142718216967,13.277111142054277,48.59338384472415,47.57508699151165,44.6859467615558
sprite lite,0.48920710397261247,0.21515710572310348,0.6358461778081144,0.3647095388378051,26.26229187853114,7.134380871403012,56.0192188592689,42.641860316746744,72.83412695129165
