beverage,year,month,quantity
Coca Cola Classic 500ml,2021,1,24.350079689464874
Coca Cola Zero 500ml,2021,1,40.60817383840094
Diet Coca Cola 500ml,2021,1,6.986077261634921
Fanta 500ml,2021,1,1.6607420909796136
Fuze Diet Apricot 500ml,2021,1,1.6371469830682885
Fuze Tea Apricot 500ml,2021,1,5.220998886607766
Grape 500ml,2021,1,2.4437936285451767
Grapefruit 500ml,2021,1,0.6022241334336396
Sprite 500ml,2021,1,0.0
Zero Sprite 500ml,2021,1,6.137189285857827
sprite lite,2021,1,1.3458613958004508
Coca Cola Classic 500ml,2021,2,23.753912768248096
Coca Cola Zero 500ml,2021,2,40.5996446361835
Diet Coca Cola 500ml,2021,2,6.5959928875284435
Fanta 500ml,2021,2,1.6689884293428985
Fuze Diet Apricot 500ml,2021,2,1.6537405218083192
Fuze Tea Apricot 500ml,2021,2,5.062198769945371
Grape 500ml,2021,2,2.4088431346870847
Grapefruit 500ml,2021,2,0.6070991072465489
Sprite 500ml,2021,2,0.010981797816823752
Zero Sprite 500ml,2021,2,5.94453849256172
sprite lite,2021,2,1.3341441128121607
Coca Cola Classic 500ml,2021,3,24.02074280152822
Coca Cola Zero 500ml,2021,3,40.4899914952559
Diet Coca Cola 500ml,2021,3,7.743104670717244
Fanta 500ml,2021,3,1.0074205009559023
Fuze Diet Apricot 500ml,2021,3,1.26782897254184
Fuze Tea Apricot 500ml,2021,3,6.046596798060845
Grape 500ml,2021,3,1.6462134107920994
Grapefruit 500ml,2021,3,0.4442185496771288
Sprite 500ml,2021,3,0.0
Zero Sprite 500ml,2021,3,6.739522231179116
sprite lite,2021,3,0.8345452592356719
Coca Cola Classic 500ml,2021,4,21.31421002303617
Coca Cola Zero 500ml,2021,4,40.09519855500192
Diet Coca Cola 500ml,2021,4,5.021372233076732
Fanta 500ml,2021,4,0.8813972619594698
Fuze Diet Apricot 500ml,2021,4,1.0201899665990153
Fuze Tea Apricot 500ml,2021,4,4.0653743643788705
Grape 500ml,2021,4,1.3611505332682936
Grapefruit 500ml,2021,4,0.46847558354664787
Sprite 500ml,2021,4,0.010252000836391526
Zero Sprite 500ml,2021,4,4.614970222082731
sprite lite,2021,4,0.47631402807401363
Coca Cola Classic 500ml,2021,5,22.26560990614427
Coca Cola Zero 500ml,2021,5,40.551122141504656
Diet Coca Cola 500ml,2021,5,5.682404241723191
Fanta 500ml,2021,5,1.0522035353589652
Fuze Diet Apricot 500ml,2021,5,1.230890532104249
Fuze Tea Apricot 500ml,2021,5,4.5271673858094355
Grape 500ml,2021,5,1.5138582180071765
Grapefruit 500ml,2021,5,0.4487702421647311
Sprite 500ml,2021,5,0.0
Zero Sprite 500ml,2021,5,4.9351335120588065
sprite lite,2021,5,0.6034699481509019
Coca Cola Classic 500ml,2021,6,22.271056466513055
Coca Cola Zero 500ml,2021,6,40.40993073208077
Diet Coca Cola 500ml,2021,6,5.611259508515729
Fanta 500ml,2021,6,1.1186016670161698
Fuze Diet Apricot 500ml,2021,6,1.1797190096973305
Fuze Tea Apricot 500ml,2021,6,4.650425650806212
Grape 500ml,2021,6,1.4817765657602282
Grapefruit 500ml,2021,6,0.40527234831750975
Sprite 500ml,2021,6,0.0
Zero Sprite 500ml,2021,6,5.041134492597131
sprite lite,2021,6,0.5668874907767032
Coca Cola Classic 500ml,2021,7,22.274119573492303
Coca Cola Zero 500ml,2021,7,39.819784890250986
Diet Coca Cola 500ml,2021,7,6.467728731039497
Fanta 500ml,2021,7,1.8404698002205147
Fuze Diet Apricot 500ml,2021,7,1.6767029438793923
Fuze Tea Apricot 500ml,2021,7,5.661970152823821
Grape 500ml,2021,7,2.16785244498049
Grapefruit 500ml,2021,7,0.7267217574908177
Sprite 500ml,2021,7,0.031902198206939895
Zero Sprite 500ml,2021,7,5.8703541418364225
sprite lite,2021,7,1.266590385190076
Coca Cola Classic 500ml,2021,8,22.270013609638763
Coca Cola Zero 500ml,2021,8,39.01840915806284
